"id","Elevation","Aspect","Slope","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.SandPercent","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DWA_AWC","Tot.DryRed","Tot.DryValue","Tot.DryCClass","Tot.MoistRed","Tot.MoistValue","Tot.MoistCClass","Tot.EfferScale","DWAClay","DWASand","DWApH","DWA.AWHC","Sand.50","Clay.50","pH.50","DryValue.50","EfferScale.50","AWHC.50","MaxClay","MaxSand","MaxpH","MaxDryValue","MaxAWHC","MaxEffervescence","SlopeShape","DepthClass","H1.Texture","H1.SandSize","Tot.Texture","Tot.SandSize"
"B1_1",1895.879054,40,1,0,1,188,0,"2",6,"2","2",4,"2",40,5,7.8,"3",5,0.51781154893617,"2","5","2","2","4","2","4",6.57446808510638,64.1223404255319,8.03510638297872,10.1069358774468,55,7,8,5,"4",12.83080608,7,85,8.2,7,19.46971424,"4","LV","VeryDeep","SiL","VF","SL","F"
"B1_10",1887.039746,344,2,0,0,180,0,"2",5,"2","2",3,"2",50,5,7.8,"1",4,0.332667593777778,"2","5","2","3","4","2","2",7.36363636363636,53.5227272727273,8.05454545454545,14.8756029268636,70,5,8.2,6,"4",9.155303766,15,75,8.2,6,22.58434366,"4","LV","VeryDeep","SL","VF","SL","F"
"B1_2",1874.542794,100,6,0,1,44,0,"2",6,"2","2",4,"2",60,5,7.8,"0",6,1.593693315,"2","6","2","2","4","2","3",5,67.9411764705882,8.29411764705882,9.68418190129412,70,5,8.4,6,"3",9.155303766,5,70,8.4,6,10.46442617,"3","CL","Shallow","SL","F","SL","F"
"B1_3",1876.981224,170,4,1,1,51,0,"3",6,"2","3",4,"2",60,5,7.8,"2",7,1.60410961117647,"3","7","2","3","5","2","3",5.365,73.725,8.183,7.431472322735,65,5,8,6,"3",10.46442617,10,80,8.6,7,10.46442617,"3","LV","ModeratelyDeep","SL","F","SL","F"
"B1_4",1885.820532,30,3,0,1,200,1,"2",6,"2","2",4,"2",55,7,7.6,"2",6,0.3849241824,"2","6","2","2","4","2","2",8.05882352941176,67.7272727272727,7.79076923076923,9.56347749529947,65,10,7.8,6,"2",10.43140426,10,75,7.8,7,12.83080608,"3","CL","VeryDeep","SL","F","SL","F"
"B1_5",1882.772495,60,4,1,0,187,0,"2",5,"2","2",4,"2",55,5,6.8,"0",6,0.420485719572192,"2","6","3","2","4","3","4",5,62.7777777777778,8.27908496732026,11.0464453147712,70,5,8.4,7,"4",9.155303766,5,70,8.5,7,13.10513826,"4","CL","VeryDeep","SL","F","SL","F"
"B1_6",1880.029261,270,3,1,0,153,0,"2",6,"2","2",4,"2",65,5,7.8,"1",5,0.341974711437908,"3","6","2","3","5","2","2",5.64406779661017,70.6779661016949,8.1864406779661,8.95272136886441,75,7,8.2,7,"3",7.768319141,7,75,8.4,8,10.46442617,"4","VV","VeryDeep","SL","F","SL","F"
"B1_7",1891.611802,0,5,1,1,59,0,"2",5,"2","2",3,"2",60,5,7,"0",7,1.38660322322034,"2","6","2","2","4","2","3",5,60.4741379310345,8.09827586206896,11.5711425898276,60,5,8.2,6,"3",11.68708431,5,65,8.6,8,11.68708431,"4","CL","ModeratelyDeep","SL","F","SL","F"
"B1_8",1873.32358,320,2,0,1,116,0,"2",6,"2","2",4,"2",80,7,7.8,"2",6,0.291468770637931,"2","7","2","2","4","2","3",6.36,71.85,8.091,7.930293230235,70,5,8.1,7,"3",9.155303766,10,80,8.1,7,11.35524954,"3","LL","Deep","SL","F","SL","F"
"B1_9",1892.221409,20,5,0,1,200,1,"2",6,"2","2",4,"2",50,5,7.6,"1",4,0.2994008344,"3","6","2","3","5","2","3",6.82222222222222,52.6944444444444,8.23333333333333,13.8764339176111,55,7,8.2,7,"3",12.83080608,10,60,8.6,7,16.67161622,"4","CL","VeryDeep","SL","F","SL","F"
"B2_1",1880.943672,350,4,0,0,200,1,"2",6,"2","2",4,"2",55,5,7.6,"1",7,0.4586798391,"3","7","2","3","5","2","3",3.94,68.675,8.213,9.08144642247,60,5,8.2,7,"3",11.68708431,5,75,8.4,7,11.68708431,"3","LL","VeryDeep","SL","F","LS","M"
"B2_10",1880.334065,210,1,1,1,27,0,"2",5,"2","2",3,"2",50,5,6.4,"0",5,2.77222994814815,"2","6","2","2","4","2","3",7.3,52.75,8.07,13.61823235775,50,8,8.2,6,"3",14.3562924,8,75,8.6,7,16.41742319,"4","VV","Shallow","SL","VF","L","VF"
"B2_2",1881.55328,0,4,0,2,200,1,"2",6,"2","2",5,"2",50,5,7.8,"2",4,0.2994008344,"3","8","2","3","7","2","4",4.7,65.8,8.265,9.678883417145,80,3,8.4,8,"3",4.553469578,7,80,8.4,8,14.97004172,"4","LV","VeryDeep","SL","F","SL","F"
"B2_4",1896.488661,91,1,1,1,200,1,"2",6,"3","2",4,"2",65,5,7.3,"0",4,0.2092885234,"3","6","3","2","4","2","3",5.39252336448598,67.4766355140187,8.19439252336449,8.95325987,60,7,8,6,"3",11.54200385,7,80,8.6,8,14.97004172,"4","LV","VeryDeep","SL","VF","SL","F"
"B2_5",1876.066813,200,4,0,1,107,0,"2",6,"2","2",4,"2",60,5,7.4,"2",7,0.764575609065421,"3","7","3","3","5","3","3",5,69.6216216216216,8.32972972972973,9.25110086766486,70,5,8.2,7,"3",9.155303766,5,70,8.6,8,9.155303766,"4","LV","Deep","SL","F","SL","F"
"B2_6",1876.981224,10,3,1,1,185,0,"2",6,"2","2",4,"2",55,5,7.2,"0",6,0.425031511135135,"2","7","2","2","5","2","3",9.055,63.6,8.178,10.4996117262,70,5,8.2,7,"3",9.155303766,23,70,8.6,7,12.70284261,"4","CC","VeryDeep","SL","VF","SL","MIX"
"B2_7",1865.703487,0,10,1,1,200,1,"2",6,"2","2",4,"2",60,5,7.8,"2",7,0.40904795085,"2","7","2","2","5","3","3",6.30188679245283,60,8.21037735849057,11.5926451426415,60,7,8.3,7,"3",11.54200385,7,60,8.3,7,11.68708431,"3","CL","VeryDeep","SL","F","SL","F"
"B2_8",1878.810046,250,3,0,1,106,0,"3",6,"2","3",4,"2",75,11,8.1,"3",7,0.558766195915094,"3","6","2","3","4","2","4",12.3653846153846,68.6538461538462,8.22628205128205,9.65455767230769,75,10,8.2,6,"4",8.284689241,18,75,8.3,6,12.70284261,"4","CL","Deep","SL","VF","SL","VF"
"B2_9",1894.355035,100,5,1,1,156,0,"3",5,"3","3",4,"2",60,7,7.5,"0",5,0.369936020833333,"2","5","2","2","4","2","2",7,63.7037037037037,7.65555555555556,10.7062380774074,70,7,7.8,6,"3",9.285436264,7,70,7.8,6,11.54200385,"3","LV","VeryDeep","SL","F","SL","F"
"B3_1",1866.617898,310,6,1,1,81,0,"3",6,"3","3",4,"2",60,5,7.6,"2",6,0.865709948888889,"3","7","2","3","6","2","4",7.58024691358025,58.2222222222222,8.17530864197531,12.2262520743457,45,10,8.2,7,"4",15.90292714,10,74,8.4,7,15.90292714,"4","CV","ModeratelyDeep","SL","F","SL","F"
"B3_10",1895.57425,250,5,1,2,200,1,"2",5,"2","2",4,"2",45,5,7.8,"2",8,0.686370132,"2","7","2","2","5","2","3",6.80952380952381,70.4761904761905,7.96190476190476,8.47807309590476,80,3,8,7,"3",4.553469578,15,80,8,7,9.885726076,"3","CV","VeryDeep","SL","F","LS","F"
"B3_2",1890.392587,250,4,1,0,42,0,"2",5,"2","2",3,"2",55,5,7.6,"2",4,1.24810840571429,"3","6","2","3","4","2","3",4.19402985074627,51.865671641791,8.24477611940299,14.4192486344776,55,3,8.6,8,"4",13.39304941,5,55,8.6,8,17.1592533,"4","VV","Shallow","SL","F","SL","F"
"B3_3",1877.895635,90,2,0,0,67,0,"2",6,"2","2",4,"2",50,5,7.6,"2",5,1.11716729253731,"2","7","2","2","5","2","3",7.92,49.9,8.0075,14.33118874595,55,7,8,7,"3",12.83080608,20,65,8.2,7,20.52934586,"3","LL","ModeratelyDeep","SL","F","SL","F"
"B3_4",1873.628383,100,5,0,0,200,1,"2",6,"2","2",4,"2",70,3,7.6,"0",7,0.315847167405,"3","7","3","3","5","3","3",3,70.2364864864865,8.19054054054054,8.88892652880405,70,3,8.2,7,"3",9.024204783,3,75,8.6,8,10.49185197,"3","CL","VeryDeep","SL","F","SL","F"
"B3_5",1893.745428,35,1,1,0,148,0,"2",6,"3","2",4,"3",45,15,7.8,"3",5,0.496164922297297,"2","5","2","2","4","2","3",15.9943820224719,46.8539325842697,7.9685393258427,14.5486931173595,35,19,8,5,"3",17.23838077,19,70,8.2,6,17.54675254,"3","CL","Deep","L","VF","L","VF"
"B3_6",1867.837113,270,6,1,1,178,0,"2",6,"2","2",4,"2",70,5,7.6,"1",5,0.257171454101124,"3","7","3","3","5","3","3",10.8224852071006,58.8461538461538,8.46863905325444,11.4651405935503,55,18,8.2,7,"3",11.75090901,18,65,8.8,8,11.75090901,"3","VV","VeryDeep","SL","F","SL","F"
"B3_7",1874.847598,260,5,0,2,169,0,"2",6,"3","2",4,"2",65,3,7.6,"0",6,0.37249178591716,"3","6","3","3","5","3","3",4.8962962962963,73.2592592592593,8.23407407407407,7.8082994793037,70,5,8.2,8,"3",9.155303766,7,80,8.4,8,9.285436264,"3","CC","VeryDeep","SL","F","SL","F"
"B3_8",1878.200439,246,1,0,2,135,0,"2",5,"3","2",3,"2",70,5,7.3,"0",5,0.339085324666667,"2","5","3","2","3","2","2",9.73684210526316,70.3157894736842,8.21157894736842,9.23551830412632,75,10,8.2,6,"3",8.284689241,10,75,8.4,7,11.35524954,"4","LV","Deep","SL","VF","SL","VF"
"B3_9",1874.847598,35,5,0,4,95,0,"2",5,"2","2",4,"2",70,5,7.6,"1",7,0.674601330126316,"2","6","2","3","5","2","3",5.7,79.65,8.372,5.416702920955,80,5,8.4,7,"3",5.079667113,7,80,8.4,7,5.635062899,"3","CL","ModeratelyDeep","SL","F","LS","F"
"B4_1",1888.258961,190,4,0,5,11,0,"2",6,"2","2",4,"2",70,5,7.8,"3",11,9.155303766,"2","6","2","2","4","2","3",5,70,7.8,9.155303766,70,5,7.8,6,"3",9.155303766,NA,NA,NA,NA,NA,NA,"CL","VeryShallow","SL","F","SL","F"
"B4_10",1874.542794,230,1,3,1,7,0,"3",5,"2","3",4,"2",80,8,8.1,"3",5,4.23129319357143,"3","7","2","2","6","2","4",10.9285714285714,75.4464285714286,8.19107142857143,8.26966733717857,75,10,8.2,7,"4",8.284689241,12,75,8.2,7,8.638339797,"4","LV","VeryShallow","LS","F","SL","F"
"B4_2",1881.248476,110,11,0,2,56,0,"2",6,"2","2",4,"2",60,5,7.6,"2",7,1.46088553875,"2","6","2","2","4","2","2",5,60,7.6,11.68708431,60,5,7.6,6,"2",11.68708431,NA,NA,NA,NA,NA,NA,"VV","ModeratelyDeep","SL","F","SL","F"
"B4_3",1877.590832,210,6,0,1,7,0,"2",5,"2","2",3,"2",60,3,7.6,"2",5,8.45920303571429,"2","6","2","2","4","3","3",3,70.2898550724638,7.80579710144927,8.7749040714058,70,3,7.8,6,"3",9.024204783,3,80,8,7,9.024204783,"3","VV","VeryShallow","SL","F","SL","F"
"B4_4",1890.697391,220,5,0,0,69,0,"2",5,"2","2",3,"2",60,5,7.8,"3",5,0.846890167391304,"2","6","2","2","5","2","4",4.79084967320261,64.8366013071895,8.35163398692811,10.4325685564118,60,5,8.2,6,"4",11.68708431,7,75,8.6,7,11.68708431,"4","CL","ModeratelyDeep","SL","F","SL","F"
"B4_6",1880.638869,160,6,0,2,153,0,"2",5,"2","2",3,"2",65,5,7.6,"2",6,0.41036965372549,"2","6","2","2","4","2","3",5,69.3617021276596,7.77446808510638,9.32242577502128,70,5,7.8,6,"3",9.155303766,5,70,7.8,6,9.155303766,"3","VV","VeryDeep","SL","F","SL","F"
"B4_7",1877.590832,310,1,0,1,47,0,"1",6,"2","2",4,"2",75,5,7.4,"0",5,0.79046106606383,"2","6","2","2","4","2","4",5.98863636363636,77.3863636363636,8.22159090909091,6.47549700490909,75,7,8,6,"4",7.768319141,7,80,8.5,8,7.768319141,"4","LL","Shallow","SL","VF","SL","F"
"B4_8",1888.258961,200,5,0,0,176,0,"2",6,"2","2",4,"2",65,5,7.8,"2",6,0.35674180125,"2","7","2","2","5","2","3",5,67.05,8.176,9.92249812852,70,5,8.2,7,"3",9.155303766,5,70,8.2,7,11.68708431,"3","VV","VeryDeep","SL","F","SL","F"
"B4_9",1891.611802,260,10,0,4,200,1,"2",6,"2","2",5,"2",60,5,7.8,"2",7,0.40904795085,"2","6","2","2","5","2","2",5,60,7.8,11.68708431,60,5,7.8,6,"2",11.68708431,NA,NA,NA,NA,NA,NA,"VV","VeryDeep","SL","F","SL","F"
"IL1_1",1871.189954,110,12,0,2,40,0,"2",6,"2","2",4,"2",60,5,6.6,"0",4,1.168708431,"2","5","3","2","4","2","2",5,62,7.64,11.198021054,65,5,8.2,7,"4",10.46442617,5,65,8.2,7,11.68708431,"4","CV","Shallow","SL","VF","SL","VF"
"IL1_10",1878.200439,200,12,0,1,8,0,"2",6,"2","2",4,"2",60,7,7.8,"1",5,7.21375240625,"2","6","2","2","4","2","3",7,62.2105263157895,8.08421052631579,11.0431836467789,60,7,8.1,6,"3",11.54200385,7,70,8.1,6,11.54200385,"3","CC","VeryShallow","SL","F","SL","F"
"IL1_3",1884.90612,270,1,1,3,95,0,"2",6,"2","2",4,"2",70,7,8.2,"3",7,0.684190040505263,"2","6","2","2","4","2","3",7,60.725,7.97,11.46487441644,65,7,8.1,6,"3",10.44264508,7,65,8.1,6,12.83080608,"3","LL","ModeratelyDeep","SL","F","SL","F"
"IL1_4",1878.505243,110,4,1,2,200,1,"2",5,"2","2",3,"2",65,7,7.6,"0",7,0.3654925778,"2","8","2","2","4","2","4",6.125,57.96875,8.40416666666667,12.3605896669792,50,7,8.4,6,"3",14.56164285,7,65,8.6,8,14.56164285,"4","CC","VeryDeep","SL","VF","SL","CO"
"IL1_5",1875.762009,310,4,1,2,96,0,"2",6,"2","2",4,"2",60,5,6.5,"0",8,0.9739236925,"2","7","2","2","5","2","3",7.97520661157025,67.0247933884298,8.02809917355372,9.82662017304959,60,10,8.4,7,"3",11.35524954,10,80,8.4,8,11.35524954,"4","VV","ModeratelyDeep","SL","F","SL","F"
"IL1_8",1876.981224,200,2,1,2,121,0,"2",5,"2","2",4,"2",70,7,7.2,"0",7,0.537173998743802,"2","6","2","2","4","2","3",6.82432432432432,68.0405405405405,8.03783783783784,9.55638788325,60,7,8,5,"3",11.54200385,7,80,8.3,6,11.54200385,"4","LV","Deep","SL","VF","SL","F"
"IL1_9",1863.874665,190,18,1,5,148,0,"2",5,"2","2",4,"2",65,10,7.8,"3",8,0.56385968972973,"2","5","2","2","4","2","3",10,65,7.8,10.43140426,65,10,7.8,5,"3",10.43140426,NA,NA,NA,NA,NA,NA,"VV","Deep","SL","MIX","SL","MIX"
"IL2_1",1862.045842,280,7,0,5,9,0,"2",6,"2","2",4,"2",70,5,7.8,"3",9,9.155303766,"2","6","2","2","4","2","3",5,70,7.8,9.155303766,70,5,7.8,6,"3",9.155303766,NA,NA,NA,NA,NA,NA,"LV","VeryShallow","SL","F","SL","F"
"IL2_10",1873.018776,10,5,0,1,56,0,"2",6,"2","2",4,"2",70,7,6.6,"0",5,0.829056809285714,"2","6","2","2","5","2","3",6.86486486486486,74.1891891891892,8.07027027027027,8.00554539756757,75,7,8.2,6,"3",7.768319141,7,75,8.4,8,9.285436264,"3","CL","ModeratelyDeep","SL","F","SL","F"
"IL2_2",1879.11485,260,3,1,1,74,0,"2",6,"2","2",3,"2",60,5,7.6,"2",5,0.789667858783784,"2","6","3","2","4","3","3",6.12068965517241,51.9827586206897,8.19310344827586,14.1245508115517,55,10,8.4,7,"4",12.46052744,10,55,8.4,7,14.97004172,"4","LV","ModeratelyDeep","SL","VF","SL","F"
"IL2_3",1887.649354,90,4,0,0,58,0,"2",6,"2","2",4,"2",55,7,6.4,"0",4,0.884883177931035,"3","7","2","3","5","2","3",6.29,51.1,8.058,14.3717335207,50,5,8.2,7,"3",14.97004172,10,60,8.6,8,14.97004172,"4","LV","ModeratelyDeep","SL","F","SL","F"
"IL2_4",1876.67642,290,3,1,1,200,1,"2",5,"2","2",3,"2",65,7,7.6,"2",8,0.4177058032,"2","5","2","2","4","2","3",7,53.953488372093,7.9953488372093,13.7233382044186,60,7,8.2,5,"3",11.54200385,7,60,8.2,5,16.67161622,"3","CL","VeryDeep","SL","F","SL","F"
"IL2_5",1869.970739,70,3,0,0,43,0,"2",6,"2","2",4,"2",70,5,7.6,"0",6,1.2774842464186,"3","6","2","3","4","2","3",19.195,60.5,8.154,9.399306721455,50,30,8.2,6,"3",11.78548214,38,80,8.2,8,12.62060452,"3","VV","Shallow","SL","F","LS","F"
"IL2_7",1875.457206,130,4,1,1,200,1,"2",5,"2","2",4,"2",70,7,7.6,"1",7,0.32499026924,"2","5","3","2","4","2","4",7.50847457627119,70,8.0135593220339,9.32066985518644,70,7,8,6,"4",9.285436264,10,70,8.6,7,9.493314452,"4","LL","VeryDeep","SL","F","SL","F"
